Lucas,Silva,2008-03-15,lucas.silva,lucas123,true,84050000
Mariana,Souza,2009-07-02,mariana.souza,mari456,true,84050000
Pedro,Oliveira,2007-11-20,pedro.oliveira,pedro789,true,84050000
Ana,Carvalho,2008-05-08,ana.carvalho,ana2025,true,84050000
Rafaela,Pereira,2009-09-18,rafaela.pereira,rafaela321,true,84050000
Gustavo,Almeida,2007-12-30,gustavo.almeida,guga999,true,84050000
Beatriz,Costa,2008-02-25,beatriz.costa,bea555,true,84050000
Felipe,Santos,2009-01-12,felipe.santos,felipe777,true,84050000
João,Martins,2008-08-21,joao.martins,joao123,true,84050000
Camila,Ferreira,2007-10-05,camila.ferreira,camila654,true,84050000
